segment_key,time_slot,avg_speed,pct_below_20,pct_below_15,mean_slot,std_slot,free_flow,z,relative_drop,is_bottleneck_slot,severity_score
SEG_01_201_202_AB,0,37.933904874697156,0.00039872408293460925,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.3248416742569864,0.060906990301489654,false,0.000024285083852268603
SEG_01_201_202_AB,30,37.904024097702056,0.00312256049960968,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.3201650576844834,0.0616467198097791,false,0.00019249561220852177
SEG_01_201_202_AB,100,37.94367214255549,0.0030048076923076925,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.3263703415584378,0.06066519149380258,false,0.0001822872340558972
SEG_01_201_202_AB,130,38.58190835917039,0.0012004801920768306,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.4262601827189365,0.04486499450540168,false,0.00005385953722137056
SEG_01_201_202_AB,200,38.4907533983315,0.0024615384615384616,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.4119935925096214,0.047121629745193315,false,0.00011599170398816817
SEG_01_201_202_AB,230,38.8740023885784,0.0,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.4719755862669315,0.03763390500650076,false,0.0
SEG_01_201_202_AB,300,38.97825555148056,0.0006002400960384153,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.4882921656331256,0.03505301024115105,false,0.000021040222233584062
SEG_01_201_202_AB,330,39.79196012749395,0.0,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.615644419757232,0.014908912716311992,false,0.0
SEG_01_201_202_AB,400,39.88870680134074,0.0005998800239952009,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.6307861645090709,0.012513848843472949,false,7.5068079444948696e-6
SEG_01_201_202_AB,430,40.39419363463858,0.0,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.7098995055768214,0.0,false,0.0
SEG_01_201_202_AB,500,40.071251125112056,0.0008022462896109105,0.00040112314480545525,29.46896061241812,6.389400655762469,40.39419363463858,1.6593560310123843,0.007994775497872529,false,6.413778979440456e-6
SEG_01_201_202_AB,530,38.31654310320557,0.0007861635220125787,0.0,29.46896061241812,6.389400655762469,40.39419363463858,1.3847280781817926,0.0514343856006919,false,0.00004043583773639301
SEG_01_201_202_AB,600,34.35046519140735,0.000591715976331361,0.0,29.46896061241812,6.389400655762469,40.39419363463858,0.7640003878277228,0.14961874218597224,false,0.00008853180011004275
SEG_01_201_202_AB,630,32.32611734945124,0.002362204724409449,0.0,29.46896061241812,6.389400655762469,40.39419363463858,0.4471713218447661,0.19973356463461764,false,0.0004718115700030338
SEG_01_201_202_AB,700,30.672291213005142,0.00530035335689046,0.0,29.46896061241812,6.389400655762469,40.39419363463858,0.18833231243712412,0.2406757394284701,false,0.001275666463401785
SEG_01_201_202_AB,730,25.15196287038455,0.12175962293794187,0.0007855459544383347,29.46896061241812,6.389400655762469,40.39419363463858,-0.6756498730659747,0.37733717133007966,false,0.04594443170162007
SEG_01_201_202_AB,800,23.603376728441358,0.19505008839127871,0.00648202710665881,29.46896061241812,6.389400655762469,40.39419363463858,-0.9180178548807565,0.41567402132268005,false,0.08107725460094702
SEG_01_201_202_AB,830,23.285771305791858,0.15981012658227847,0.0031645569620253164,29.46896061241812,6.389400655762469,40.39419363463858,-0.9677260262353041,0.42353667172046267,false,0.06768544911988406
SEG_01_201_202_AB,900,25.985856155776126,0.07113218731475993,0.0,29.46896061241812,6.389400655762469,40.39419363463858,-0.5451379001410175,0.3566932814449626,false,0.02537237330965946
SEG_01_201_202_AB,930,26.46105794932467,0.07867820613690008,0.0007867820613690008,29.46896061241812,6.389400655762469,40.39419363463858,-0.47076444648696186,0.3449291700519566,false,0.027138408343977703
SEG_01_201_202_AB,1000,25.40489134392637,0.12103407755581669,0.002937720329024677,29.46896061241812,6.389400655762469,40.39419363463858,-0.6360642394254067,0.3710756656337528,false,0.04491280089339194
SEG_01_201_202_AB,1030,25.32523070753154,0.1315325895478567,0.0017615971814445098,29.46896061241812,6.389400655762469,40.39419363463858,-0.6485318620846597,0.3730477469956276,false,0.04906793618732858
SEG_01_201_202_AB,1100,24.833263716038136,0.15084134615384615,0.005408653846153846,29.46896061241812,6.389400655762469,40.39419363463858,-0.7255292234959695,0.38522689818609807,false,0.05810814389706166
SEG_01_201_202_AB,1130,24.29267738661249,0.16971125515615793,0.005303476723629935,29.46896061241812,6.389400655762469,40.39419363463858,-0.8101359587048663,0.39860967132213826,false,0.06764854763746365
SEG_01_201_202_AB,1200,24.94148805662311,0.14200831847890671,0.0035650623885918,29.46896061241812,6.389400655762469,40.39419363463858,-0.7085911182783275,0.3825476928140623,false,0.05432495459451033
