segment_id,nearest_station_name,second_station_name,link_count,priority_score,priority_score_mean,bc_under_construction,bc_change,lane_remain_ratio,speed_penalty_multiplier,ROAD_RANK,risk_grade,segment_name,rank
NON_TRAM,서대전네거리,비노선,24695,57.2,16.273974488762907,0.003274066745741206,0.0004328913505142913,0.5,0.4,104,🟡 주의,서대전네거리 ↔ 비노선,1
SEG_39_239_240,유천,버드내네거리,18,51.0,36.166666666666664,0.00467048955290347,-0.0190130182334126,0.5,0.4,103,🟡 주의,유천 ↔ 버드내네거리,2
SEG_03_203_204,대사,보문산공원,24,44.9,36.545833333333334,0.01226907436664332,-0.015702159251332188,0.5714285714285714,0.55,103,🟡 주의,대사 ↔ 보문산공원,3
SEG_05_205_206,인동,대전역(중앙시장),40,43.1,36.697500000000005,0.02196178226574208,0.002171954182753098,1.0,1.0,103,🟡 주의,인동 ↔ 대전역(중앙시장),4
SEG_21_221_222,국립중앙과학관,구성,15,41.4,27.666666666666668,0.002676959775569011,0.0015255329679166303,0.6,0.55,104,🟡 주의,국립중앙과학관 ↔ 구성,5
SEG_22_222_223,구성,유성구청,20,40.8,20.134999999999998,0.0011885451164017039,0.0002846105711594903,0.6,0.55,104,🟡 주의,구성 ↔ 유성구청,6
SEG_02_202_203,서대전네거리,대사,12,38.1,29.808333333333337,0.016654139391091886,-0.011230156389158858,1.0,1.0,103,🟢 정상,서대전네거리 ↔ 대사,7
SEG_43_242_243,읍내,법동,9,37.3,34.422222222222224,0.014971327935188282,0.003575014481592434,0.75,1.0,104,🟢 정상,읍내 ↔ 법동,8
SEG_45_233_245,관저네거리,진잠네거리,22,36.6,34.63636363636363,0.002959360473250211,-0.009994020098237901,0.5,0.55,103,🟢 정상,관저네거리 ↔ 진잠네거리,9
SEG_35_235_236,정림삼거리,가수원네거리,16,35.6,34.975,0.0035731178536589476,-0.033236338183918517,0.5,0.4,103,🟢 정상,정림삼거리 ↔ 가수원네거리,10
SEG_36_236_237,도마·복수,정림삼거리,18,34.2,32.91111111111111,0.0009407199303666244,-0.03603648003513373,0.5,0.4,103,🟢 정상,도마·복수 ↔ 정림삼거리,11
